bike_id,status,created_at,updated_at
1,3,2024-04-24 20:11:09.499273,2024-12-04 07:11:04.696469
2,1,2024-03-28 07:09:38.811605,2024-12-03 06:26:52.172047
3,3,2024-10-27 11:32:09.360084,2024-12-02 23:57:13.136703
4,1,2024-11-17 07:43:19.949229,2024-12-04 02:51:56.101240
5,1,2024-07-14 11:05:37.648063,2024-12-04 14:41:58.717676
6,3,2024-02-14 08:28:47.201305,2024-12-04 14:16:26.921917
7,3,2024-09-09 17:17:58.933243,2024-12-02 20:11:10.482809
8,1,2024-07-31 19:16:46.306653,2024-12-03 15:35:08.362401
9,1,2024-02-14 20:49:49.150564,2024-12-04 05:37:43.751374
10,3,2024-04-24 01:10:44.334943,2024-12-04 15:54:56.361709
11,1,2024-04-07 16:50:02.719979,2024-12-03 06:23:36.504740
12,1,2024-04-14 07:17:38.259065,2024-12-04 13:44:40.330814
13,1,2024-03-14 18:07:21.863656,2024-12-03 11:32:25.081076
14,4,2024-04-10 08:52:41.962319,2024-12-03 18:16:02.242091
15,1,2024-05-12 07:11:09.645514,2024-12-03 22:55:55.756747
16,3,2024-02-06 00:11:13.327524,2024-12-04 12:57:54.065130
17,1,2024-02-08 13:36:44.153497,2024-12-03 03:41:04.612192
18,3,2024-10-03 00:04:08.177242,2024-12-02 22:48:42.682590
19,1,2024-06-04 11:11:55.549330,2024-12-03 23:07:07.832059
20,1,2024-05-07 15:27:52.429731,2024-12-04 07:58:38.991908
21,1,2024-02-13 05:08:11.462146,2024-12-03 08:57:33.132870
22,1,2024-11-11 09:13:56.918153,2024-12-03 11:39:41.626320
23,1,2024-10-19 17:04:16.617289,2024-12-02 21:09:57.811201
24,1,2024-01-07 10:15:08.425391,2024-12-04 09:42:44.386823
25,1,2024-01-03 20:15:33.492469,2024-12-03 04:09:51.540847
26,1,2024-11-11 09:41:01.303234,2024-12-03 15:11:26.330815
27,1,2024-11-21 04:21:04.396910,2024-12-04 14:07:16.142869
28,3,2024-10-16 20:44:51.092085,2024-12-04 03:23:34.402922
29,3,2023-12-22 20:07:41.504068,2024-12-03 16:33:49.315699
30,3,2024-02-04 08:19:21.393421,2024-12-02 19:53:25.256877
31,3,2024-12-02 16:49:11.951847,2024-12-04 06:13:42.259608
32,1,2024-01-19 06:11:39.563988,2024-12-03 07:40:19.887047
33,1,2024-05-19 17:01:13.365486,2024-12-03 04:55:23.036309
34,3,2024-08-05 21:13:38.004044,2024-12-04 15:53:55.286233
35,1,2024-09-23 02:14:16.204238,2024-12-02 19:34:14.581664
36,5,2024-08-25 03:38:09.829079,2024-12-03 04:17:36.994273
37,3,2024-08-28 03:21:04.170131,2024-12-02 20:17:37.919456
38,1,2024-01-10 16:44:48.900748,2024-12-04 03:17:32.088916
39,1,2024-06-30 18:03:39.020113,2024-12-03 01:30:59.110247
40,1,2024-02-10 23:33:40.229688,2024-12-03 13:39:43.944621
41,4,2024-07-17 06:48:54.291426,2024-12-04 02:47:31.871416
42,3,2024-11-16 12:42:47.696936,2024-12-03 01:17:13.304004
43,1,2024-01-20 10:27:31.894590,2024-12-04 12:19:12.194854
44,1,2024-02-18 21:44:24.240614,2024-12-03 18:39:31.652403
45,1,2024-03-17 22:20:08.948932,2024-12-03 01:35:06.648153
46,1,2024-09-21 03:28:48.925738,2024-12-03 07:45:12.087731
47,1,2024-10-28 14:46:45.805439,2024-12-03 15:57:46.549920
48,1,2024-06-23 02:02:12.358825,2024-12-04 02:13:39.788564
49,1,2024-09-22 03:44:03.521975,2024-12-03 21:00:51.888255
50,5,2024-02-29 15:50:34.760991,2024-12-02 22:34:13.561101
51,1,2024-06-13 21:02:43.043687,2024-12-04 11:05:35.519738
52,1,2023-12-31 00:33:07.302229,2024-12-03 18:02:05.689118
53,1,2024-06-13 01:06:38.639217,2024-12-03 12:23:34.172090
54,1,2024-03-26 07:31:36.548520,2024-12-04 08:41:47.438969
55,1,2024-04-20 19:18:27.420296,2024-12-03 17:17:22.006194
56,1,2024-04-22 14:23:03.263197,2024-12-04 07:08:13.179233
57,3,2024-03-12 12:53:31.528750,2024-12-03 09:20:52.983955
58,3,2024-05-08 09:09:41.529665,2024-12-04 12:12:26.882117
59,3,2024-11-11 11:14:47.683497,2024-12-04 04:19:35.107508
60,1,2024-06-08 19:16:21.515845,2024-12-04 10:28:28.540527
61,1,2024-07-28 07:56:08.382771,2024-12-03 05:04:05.595450
62,5,2024-02-19 09:13:25.311683,2024-12-03 12:02:42.570636
63,1,2024-09-29 09:51:44.746561,2024-12-04 11:57:41.086658
