zone_name,zone_type_id,city_id,boundary
Malmö C,1,3,"POLYGON((12.999047 55.60899, 12.999326 55.608445, 12.999219 55.608439, 12.99895 55.608984, 12.999047 55.60899))"
Möllevångstorget,2,3,"POLYGON((13.008059 55.59143, 13.008059 55.591518, 13.008478 55.591518, 13.008478 55.59143, 13.008059 55.59143))"
Triangeln Nord,2,3,"POLYGON((13.000329 55.594031, 13.000329 55.594225, 13.000581 55.594225, 13.000581 55.594031, 13.000329 55.594031))"
Stora pildammen,3,3,"POLYGON((12.998543 55.58732, 12.997727 55.589502, 12.996268 55.590036, 12.997084 55.591491, 12.994809 55.59183, 12.99232 55.590933, 12.994294 55.590206, 12.99365 55.589624, 12.996011 55.587756, 12.998114 55.587198, 12.998543 55.58732))"
Folkets park,4,3,"POLYGON((13.013241 55.595153, 13.013842 55.59525, 13.01573 55.594377, 13.014615 55.591733, 13.01204 55.592049, 13.011954 55.592364, 13.013241 55.595153))"
Pildammsparken,4,3,"POLYGON((12.988973 55.592655, 12.985862 55.591079, 12.985368 55.590084, 12.98614 55.588641, 12.992879 55.587368, 12.991591 55.591103, 12.988973 55.592655))"
Godheten,4,3,"POLYGON((13.028905 55.593091, 13.029463 55.591321, 13.03 55.591236, 13.030794 55.59297, 13.028905 55.593091))"
Gamla kyrkogården,4,3,"POLYGON((12.994927 55.602499, 12.995313 55.601748, 12.996612 55.601366, 12.99747 55.600857, 12.99924 55.601033, 12.998725 55.60299, 12.994927 55.602499))"
Slottsparken,4,3,"POLYGON((12.995239 55.601117, 12.994338 55.603008, 12.992192 55.605578, 12.989832 55.605287, 12.989617 55.606766, 12.983308 55.605554, 12.981935 55.603663, 12.983952 55.599032, 12.995625 55.600487, 12.995239 55.601117))"
Ribban,2,3,"POLYGON((12.968277 55.60259, 12.968111 55.602781, 12.967826 55.602711, 12.967993 55.602508, 12.968277 55.60259))"
Family Pub,2,3,"POLYGON((13.007732 55.590694, 13.007518 55.590733, 13.007464 55.590682, 13.007732 55.590633, 13.007732 55.590694))"
Knarkrondellen,4,3,"POLYGON((13.011772 55.592094, 13.011578 55.592143, 13.011353 55.592027, 13.011471 55.59187, 13.01175 55.591891, 13.011841 55.591994, 13.011772 55.592094))"
Plan B,2,3,"POLYGON ((13.027757 55.583678, 13.027366 55.583709, 13.027318 55.583539, 13.027757 55.583493, 13.027757 55.583678))"
